country,country_code,year,material,recovered_material_tonnes,documented_recycled_tonnes,e_waste_generated_tonnes,recycling_rate_pct
Austria,AUT,2010,copper,,,,79.9
Austria,AUT,2011,copper,,,,81.5
Austria,AUT,2012,copper,,,,80.0
Austria,AUT,2013,copper,,,,79.0
Austria,AUT,2014,copper,,,,79.6
Austria,AUT,2015,copper,,,,81.1
Austria,AUT,2016,copper,,,,81.8
Austria,AUT,2017,copper,,,,80.2
Austria,AUT,2018,copper,,,,79.8
Belgium,BEL,2010,copper,,,,80.2
Belgium,BEL,2011,copper,,,,77.7
Belgium,BEL,2012,copper,,,,78.4
Belgium,BEL,2013,copper,,,,79.1
Belgium,BEL,2014,copper,,,,76.7
Belgium,BEL,2015,copper,,,,77.4
Belgium,BEL,2016,copper,,,,72.5
Belgium,BEL,2017,copper,,,,75.1
Belgium,BEL,2018,copper,,,,72.5
Bulgaria,BGR,2010,copper,,,,78.4
Bulgaria,BGR,2011,copper,,,,82.3
Bulgaria,BGR,2012,copper,,,,84.0
Bulgaria,BGR,2013,copper,,,,83.5
Bulgaria,BGR,2014,copper,,,,84.9
Bulgaria,BGR,2015,copper,,,,85.6
Bulgaria,BGR,2016,copper,,,,81.5
Bulgaria,BGR,2017,copper,,,,83.7
Bulgaria,BGR,2018,copper,,,,81.0
Croatia,HRV,2012,copper,,,,92.3
Croatia,HRV,2013,copper,,,,97.4
Croatia,HRV,2014,copper,,,,95.7
Croatia,HRV,2015,copper,,,,92.5
Croatia,HRV,2016,copper,,,,96.3
Croatia,HRV,2017,copper,,,,95.2
Croatia,HRV,2018,copper,,,,91.2
Cyprus,CYP,2010,copper,,,,71.6
Cyprus,CYP,2011,copper,,,,78.9
Cyprus,CYP,2012,copper,,,,86.6
Cyprus,CYP,2013,copper,,,,80.3
Cyprus,CYP,2014,copper,,,,89.4
Cyprus,CYP,2015,copper,,,,91.0
Cyprus,CYP,2016,copper,,,,87.8
Cyprus,CYP,2017,copper,,,,78.3
Czechia,CZE,2010,copper,,,,86.7
Czechia,CZE,2011,copper,,,,86.8
Czechia,CZE,2012,copper,,,,80.6
Czechia,CZE,2013,copper,,,,91.1
Czechia,CZE,2014,copper,,,,85.5
Czechia,CZE,2015,copper,,,,82.5
Czechia,CZE,2016,copper,,,,90.0
Czechia,CZE,2017,copper,,,,86.9
Czechia,CZE,2018,copper,,,,84.7
Denmark,DNK,2010,copper,,,,83.5
Denmark,DNK,2011,copper,,,,92.0
Denmark,DNK,2012,copper,,,,84.4
Denmark,DNK,2013,copper,,,,82.6
Denmark,DNK,2014,copper,,,,83.0
Denmark,DNK,2015,copper,,,,84.2
Denmark,DNK,2016,copper,,,,86.4
Denmark,DNK,2017,copper,,,,85.8
Denmark,DNK,2018,copper,,,,80.7
Estonia,EST,2010,copper,,,,82.7
Estonia,EST,2011,copper,,,,69.5
Estonia,EST,2012,copper,,,,80.4
Estonia,EST,2013,copper,,,,66.0
Estonia,EST,2014,copper,,,,85.1
Estonia,EST,2015,copper,,,,86.7
Estonia,EST,2016,copper,,,,86.7
Estonia,EST,2017,copper,,,,85.7
Estonia,EST,2018,copper,,,,85.7
Finland,FIN,2010,copper,,,,88.5
Finland,FIN,2011,copper,,,,89.1
Finland,FIN,2012,copper,,,,89.4
Finland,FIN,2013,copper,,,,87.9
Finland,FIN,2014,copper,,,,87.8
Finland,FIN,2015,copper,,,,92.5
Finland,FIN,2016,copper,,,,88.9
Finland,FIN,2017,copper,,,,90.0
Finland,FIN,2018,copper,,,,89.7
France,FRA,2010,copper,,,,77.4
France,FRA,2011,copper,,,,77.9
France,FRA,2012,copper,,,,76.7
France,FRA,2013,copper,,,,78.7
France,FRA,2014,copper,,,,80.8
France,FRA,2015,copper,,,,81.9
France,FRA,2016,copper,,,,81.9
France,FRA,2017,copper,,,,81.9
France,FRA,2018,copper,,,,74.2
Germany,DEU,2010,copper,,,,82.8
Germany,DEU,2011,copper,,,,83.9
Germany,DEU,2012,copper,,,,83.5
Germany,DEU,2013,copper,,,,82.8
Germany,DEU,2014,copper,,,,84.2
Germany,DEU,2015,copper,,,,79.3
Germany,DEU,2016,copper,,,,86.7
Germany,DEU,2017,copper,,,,85.8
Germany,DEU,2018,copper,,,,85.6
Greece,GRC,2010,copper,,,,98.0
Greece,GRC,2011,copper,,,,90.9
Greece,GRC,2012,copper,,,,90.2
Greece,GRC,2013,copper,,,,90.6
Greece,GRC,2014,copper,,,,84.0
Greece,GRC,2015,copper,,,,89.6
Greece,GRC,2016,copper,,,,85.4
Greece,GRC,2017,copper,,,,78.8
Greece,GRC,2018,copper,,,,80.7
Hungary,HUN,2010,copper,,,,82.3
Hungary,HUN,2011,copper,,,,87.7
Hungary,HUN,2012,copper,,,,81.5
Hungary,HUN,2013,copper,,,,87.7
Hungary,HUN,2014,copper,,,,87.0
Hungary,HUN,2015,copper,,,,83.3
Hungary,HUN,2016,copper,,,,84.0
Hungary,HUN,2017,copper,,,,84.2
Hungary,HUN,2018,copper,,,,83.5
Hungary,HUN,2019,copper,,,,68.12
Hungary,HUN,2020,copper,,,,68.13
Iceland,ISL,2010,copper,,,,66.6
Iceland,ISL,2011,copper,,,,71.3
Iceland,ISL,2012,copper,,,,73.8
Iceland,ISL,2013,copper,,,,63.8
Iceland,ISL,2014,copper,,,,73.7
Iceland,ISL,2015,copper,,,,76.2
Iceland,ISL,2016,copper,,,,79.2
Iceland,ISL,2017,copper,,,,92.0
Iceland,ISL,2018,copper,,,,90.4
Iceland,ISL,2020,copper,,,,91.92
Ireland,IRL,2010,copper,,,,80.3
Ireland,IRL,2011,copper,,,,82.1
Ireland,IRL,2012,copper,,,,83.4
Ireland,IRL,2013,copper,,,,83.3
Ireland,IRL,2014,copper,,,,83.7
Ireland,IRL,2015,copper,,,,83.2
Ireland,IRL,2016,copper,,,,85.1
Ireland,IRL,2017,copper,,,,83.8
Ireland,IRL,2018,copper,,,,82.9
Italy,ITA,2010,copper,,,,86.2
Italy,ITA,2011,copper,,,,93.1
Italy,ITA,2012,copper,,,,80.0
Italy,ITA,2013,copper,,,,88.0
Italy,ITA,2014,copper,,,,82.3
Italy,ITA,2015,copper,,,,85.7
Italy,ITA,2017,copper,,,,88.9
Italy,ITA,2018,copper,,,,84.3
Latvia,LVA,2010,copper,,,,84.6
Latvia,LVA,2011,copper,,,,81.5
Latvia,LVA,2012,copper,,,,83.6
Latvia,LVA,2013,copper,,,,90.3
Latvia,LVA,2014,copper,,,,90.3
Latvia,LVA,2015,copper,,,,82.2
Latvia,LVA,2016,copper,,,,88.5
Latvia,LVA,2017,copper,,,,80.8
Latvia,LVA,2018,copper,,,,81.4
Liechtenstein,LIE,2010,copper,,,,100.0
Liechtenstein,LIE,2011,copper,,,,75.0
Liechtenstein,LIE,2012,copper,,,,75.0
Liechtenstein,LIE,2013,copper,,,,75.0
Liechtenstein,LIE,2014,copper,,,,75.0
Liechtenstein,LIE,2015,copper,,,,73.0
Liechtenstein,LIE,2016,copper,,,,73.0
Liechtenstein,LIE,2017,copper,,,,73.0
Liechtenstein,LIE,2018,copper,,,,73.0
Lithuania,LTU,2010,copper,,,,72.4
Lithuania,LTU,2011,copper,,,,70.3
Lithuania,LTU,2012,copper,,,,68.7
Lithuania,LTU,2013,copper,,,,69.5
Lithuania,LTU,2014,copper,,,,75.7
Lithuania,LTU,2015,copper,,,,80.7
Lithuania,LTU,2016,copper,,,,82.3
Lithuania,LTU,2017,copper,,,,82.2
Luxembourg,LUX,2010,copper,,,,85.7
Luxembourg,LUX,2011,copper,,,,86.0
Luxembourg,LUX,2012,copper,,,,86.8
Luxembourg,LUX,2013,copper,,,,87.6
Luxembourg,LUX,2014,copper,,,,88.0
Luxembourg,LUX,2015,copper,,,,86.9
Luxembourg,LUX,2016,copper,,,,87.4
Luxembourg,LUX,2017,copper,,,,89.1
Luxembourg,LUX,2018,copper,,,,88.0
Luxembourg,LUX,2019,copper,,,,60.12
Luxembourg,LUX,2020,copper,,,,61.85
Malta,MLT,2010,copper,,,,56.4
Malta,MLT,2011,copper,,,,122.8
Malta,MLT,2012,copper,,,,71.7
Malta,MLT,2013,copper,,,,97.5
Malta,MLT,2014,copper,,,,107.1
Malta,MLT,2015,copper,,,,65.1
Malta,MLT,2016,copper,,,,103.4
Malta,MLT,2017,copper,,,,72.1
Netherlands,NLD,2010,copper,,,,79.9
Netherlands,NLD,2011,copper,,,,81.8
Netherlands,NLD,2012,copper,,,,83.0
Netherlands,NLD,2013,copper,,,,83.1
Netherlands,NLD,2014,copper,,,,82.4
Netherlands,NLD,2015,copper,,,,82.1
Netherlands,NLD,2016,copper,,,,80.9
Netherlands,NLD,2017,copper,,,,81.6
Netherlands,NLD,2018,copper,,,,75.6
Norway,NOR,2010,copper,,,,81.5
Norway,NOR,2011,copper,,,,81.7
Norway,NOR,2012,copper,,,,78.9
Norway,NOR,2013,copper,,,,80.8
Norway,NOR,2014,copper,,,,80.1
Norway,NOR,2015,copper,,,,82.4
Norway,NOR,2016,copper,,,,85.4
Norway,NOR,2017,copper,,,,86.2
Norway,NOR,2018,copper,,,,81.4
Poland,POL,2010,copper,,,,78.4
Poland,POL,2011,copper,,,,90.0
Poland,POL,2012,copper,,,,76.3
Poland,POL,2013,copper,,,,75.6
Poland,POL,2014,copper,,,,73.5
Poland,POL,2015,copper,,,,69.7
Poland,POL,2016,copper,,,,82.2
Poland,POL,2017,copper,,,,82.7
Poland,POL,2018,copper,,,,87.6
Portugal,PRT,2010,copper,,,,85.0
Portugal,PRT,2011,copper,,,,83.0
Portugal,PRT,2012,copper,,,,86.6
Portugal,PRT,2013,copper,,,,86.6
Portugal,PRT,2014,copper,,,,76.9
Portugal,PRT,2015,copper,,,,78.0
Portugal,PRT,2016,copper,,,,82.1
Portugal,PRT,2017,copper,,,,80.9
Romania,ROU,2010,copper,,,,84.7
Romania,ROU,2011,copper,,,,85.1
Romania,ROU,2012,copper,,,,84.3
Romania,ROU,2013,copper,,,,86.7
Romania,ROU,2014,copper,,,,87.3
Romania,ROU,2015,copper,,,,66.0
Romania,ROU,2016,copper,,,,74.0
Slovakia,SVK,2010,copper,,,,87.1
Slovakia,SVK,2011,copper,,,,86.6
Slovakia,SVK,2012,copper,,,,87.8
Slovakia,SVK,2013,copper,,,,85.1
Slovakia,SVK,2014,copper,,,,90.7
Slovakia,SVK,2015,copper,,,,86.7
Slovakia,SVK,2016,copper,,,,89.4
Slovakia,SVK,2017,copper,,,,88.6
Slovakia,SVK,2018,copper,,,,88.9
Slovenia,SVN,2010,copper,,,,78.5
Slovenia,SVN,2011,copper,,,,75.1
Slovenia,SVN,2012,copper,,,,79.7
Slovenia,SVN,2013,copper,,,,51.0
Slovenia,SVN,2014,copper,,,,81.6
Slovenia,SVN,2015,copper,,,,86.2
Slovenia,SVN,2016,copper,,,,75.8
Slovenia,SVN,2017,copper,,,,86.9
Slovenia,SVN,2018,copper,,,,84.6
Spain,ESP,2010,copper,,,,67.4
Spain,ESP,2011,copper,,,,80.3
Spain,ESP,2012,copper,,,,84.5
Spain,ESP,2013,copper,,,,82.0
Spain,ESP,2014,copper,,,,76.9
Spain,ESP,2015,copper,,,,75.7
Spain,ESP,2016,copper,,,,87.8
Spain,ESP,2017,copper,,,,83.1
Spain,ESP,2018,copper,,,,86.2
Sweden,SWE,2010,copper,,,,83.9
Sweden,SWE,2011,copper,,,,83.6
Sweden,SWE,2012,copper,,,,84.3
Sweden,SWE,2013,copper,,,,83.7
Sweden,SWE,2014,copper,,,,84.1
Sweden,SWE,2015,copper,,,,83.6
Sweden,SWE,2016,copper,,,,83.4
Sweden,SWE,2017,copper,,,,83.5
Sweden,SWE,2018,copper,,,,83.3
United Kingdom,GBR,2014,copper,,,,80.6
United Kingdom,GBR,2015,copper,,,,80.9
United Kingdom,GBR,2016,copper,,,,81.6
United Kingdom,GBR,2017,copper,,,,82.1
United Kingdom,GBR,2018,copper,,,,86.2
Austria,AUT,2010,gold,,,,79.9
Austria,AUT,2011,gold,,,,81.5
Austria,AUT,2012,gold,,,,80.0
Austria,AUT,2013,gold,,,,79.0
Austria,AUT,2014,gold,,,,79.6
Austria,AUT,2015,gold,,,,81.1
Austria,AUT,2016,gold,,,,81.8
Austria,AUT,2017,gold,,,,80.2
Austria,AUT,2018,gold,,,,79.8
Belgium,BEL,2010,gold,,,,80.2
Belgium,BEL,2011,gold,,,,77.7
Belgium,BEL,2012,gold,,,,78.4
Belgium,BEL,2013,gold,,,,79.1
Belgium,BEL,2014,gold,,,,76.7
Belgium,BEL,2015,gold,,,,77.4
Belgium,BEL,2016,gold,,,,72.5
Belgium,BEL,2017,gold,,,,75.1
Belgium,BEL,2018,gold,,,,72.5
Bulgaria,BGR,2010,gold,,,,78.4
Bulgaria,BGR,2011,gold,,,,82.3
Bulgaria,BGR,2012,gold,,,,84.0
Bulgaria,BGR,2013,gold,,,,83.5
Bulgaria,BGR,2014,gold,,,,84.9
Bulgaria,BGR,2015,gold,,,,85.6
Bulgaria,BGR,2016,gold,,,,81.5
Bulgaria,BGR,2017,gold,,,,83.7
Bulgaria,BGR,2018,gold,,,,81.0
Croatia,HRV,2012,gold,,,,92.3
Croatia,HRV,2013,gold,,,,97.4
Croatia,HRV,2014,gold,,,,95.7
Croatia,HRV,2015,gold,,,,92.5
Croatia,HRV,2016,gold,,,,96.3
Croatia,HRV,2017,gold,,,,95.2
Croatia,HRV,2018,gold,,,,91.2
Cyprus,CYP,2010,gold,,,,71.6
Cyprus,CYP,2011,gold,,,,78.9
Cyprus,CYP,2012,gold,,,,86.6
Cyprus,CYP,2013,gold,,,,80.3
Cyprus,CYP,2014,gold,,,,89.4
Cyprus,CYP,2015,gold,,,,91.0
Cyprus,CYP,2016,gold,,,,87.8
Cyprus,CYP,2017,gold,,,,78.3
Czechia,CZE,2010,gold,,,,86.7
Czechia,CZE,2011,gold,,,,86.8
Czechia,CZE,2012,gold,,,,80.6
Czechia,CZE,2013,gold,,,,91.1
Czechia,CZE,2014,gold,,,,85.5
Czechia,CZE,2015,gold,,,,82.5
Czechia,CZE,2016,gold,,,,90.0
Czechia,CZE,2017,gold,,,,86.9
Czechia,CZE,2018,gold,,,,84.7
Denmark,DNK,2010,gold,,,,83.5
Denmark,DNK,2011,gold,,,,92.0
Denmark,DNK,2012,gold,,,,84.4
Denmark,DNK,2013,gold,,,,82.6
Denmark,DNK,2014,gold,,,,83.0
Denmark,DNK,2015,gold,,,,84.2
Denmark,DNK,2016,gold,,,,86.4
Denmark,DNK,2017,gold,,,,85.8
Denmark,DNK,2018,gold,,,,80.7
Estonia,EST,2010,gold,,,,82.7
Estonia,EST,2011,gold,,,,69.5
Estonia,EST,2012,gold,,,,80.4
Estonia,EST,2013,gold,,,,66.0
Estonia,EST,2014,gold,,,,85.1
Estonia,EST,2015,gold,,,,86.7
Estonia,EST,2016,gold,,,,86.7
Estonia,EST,2017,gold,,,,85.7
Estonia,EST,2018,gold,,,,85.7
Finland,FIN,2010,gold,,,,88.5
Finland,FIN,2011,gold,,,,89.1
Finland,FIN,2012,gold,,,,89.4
Finland,FIN,2013,gold,,,,87.9
Finland,FIN,2014,gold,,,,87.8
Finland,FIN,2015,gold,,,,92.5
Finland,FIN,2016,gold,,,,88.9
Finland,FIN,2017,gold,,,,90.0
Finland,FIN,2018,gold,,,,89.7
France,FRA,2010,gold,,,,77.4
France,FRA,2011,gold,,,,77.9
France,FRA,2012,gold,,,,76.7
France,FRA,2013,gold,,,,78.7
France,FRA,2014,gold,,,,80.8
France,FRA,2015,gold,,,,81.9
France,FRA,2016,gold,,,,81.9
France,FRA,2017,gold,,,,81.9
France,FRA,2018,gold,,,,74.2
Germany,DEU,2010,gold,,,,82.8
Germany,DEU,2011,gold,,,,83.9
Germany,DEU,2012,gold,,,,83.5
Germany,DEU,2013,gold,,,,82.8
Germany,DEU,2014,gold,,,,84.2
Germany,DEU,2015,gold,,,,79.3
Germany,DEU,2016,gold,,,,86.7
Germany,DEU,2017,gold,,,,85.8
Germany,DEU,2018,gold,,,,85.6
Greece,GRC,2010,gold,,,,98.0
Greece,GRC,2011,gold,,,,90.9
Greece,GRC,2012,gold,,,,90.2
Greece,GRC,2013,gold,,,,90.6
Greece,GRC,2014,gold,,,,84.0
Greece,GRC,2015,gold,,,,89.6
Greece,GRC,2016,gold,,,,85.4
Greece,GRC,2017,gold,,,,78.8
Greece,GRC,2018,gold,,,,80.7
Hungary,HUN,2010,gold,,,,82.3
Hungary,HUN,2011,gold,,,,87.7
Hungary,HUN,2012,gold,,,,81.5
Hungary,HUN,2013,gold,,,,87.7
Hungary,HUN,2014,gold,,,,87.0
Hungary,HUN,2015,gold,,,,83.3
Hungary,HUN,2016,gold,,,,84.0
Hungary,HUN,2017,gold,,,,84.2
Hungary,HUN,2018,gold,,,,83.5
Hungary,HUN,2019,gold,,,,68.12
Hungary,HUN,2020,gold,,,,68.13
Iceland,ISL,2010,gold,,,,66.6
Iceland,ISL,2011,gold,,,,71.3
Iceland,ISL,2012,gold,,,,73.8
Iceland,ISL,2013,gold,,,,63.8
Iceland,ISL,2014,gold,,,,73.7
Iceland,ISL,2015,gold,,,,76.2
Iceland,ISL,2016,gold,,,,79.2
Iceland,ISL,2017,gold,,,,92.0
Iceland,ISL,2018,gold,,,,90.4
Iceland,ISL,2020,gold,,,,91.92
Ireland,IRL,2010,gold,,,,80.3
Ireland,IRL,2011,gold,,,,82.1
Ireland,IRL,2012,gold,,,,83.4
Ireland,IRL,2013,gold,,,,83.3
Ireland,IRL,2014,gold,,,,83.7
Ireland,IRL,2015,gold,,,,83.2
Ireland,IRL,2016,gold,,,,85.1
Ireland,IRL,2017,gold,,,,83.8
Ireland,IRL,2018,gold,,,,82.9
Italy,ITA,2010,gold,,,,86.2
Italy,ITA,2011,gold,,,,93.1
Italy,ITA,2012,gold,,,,80.0
Italy,ITA,2013,gold,,,,88.0
Italy,ITA,2014,gold,,,,82.3
