country,country_code,year,gdp_current_usd
Albania,ALB,2022,19017244116.7203
Albania,ALB,2021,18032009220.4405
Albania,ALB,2020,15241455556.3737
Albania,ALB,2019,15585111614.0376
Albania,ALB,2018,15379508329.7568
Albania,ALB,2017,13258268435.6048
Albania,ALB,2016,11988668784.6628
Albania,ALB,2015,11470171826.9575
Albania,ALB,2014,13296322588.1684
Albania,ALB,2013,12796985886.1478
Albania,ALB,2012,12246499747.9714
Albania,ALB,2011,12973755874.5365
Albania,ALB,2010,12086545641.299
Andorra,AND,2022,3380612573.32922
Andorra,AND,2021,3324647529.381
Andorra,AND,2020,2891001149.3611
Andorra,AND,2019,3155149347.80639
Andorra,AND,2018,3218419896.9641
Andorra,AND,2017,3000162081.11976
Andorra,AND,2016,2896610479.73077
Andorra,AND,2015,2789881258.50362
Andorra,AND,2014,3271685596.66321
Andorra,AND,2013,3193512950.02419
Andorra,AND,2012,3188652765.36184
Andorra,AND,2011,3629133574.27783
Andorra,AND,2010,3449925738.86069
Austria,AUT,2022,471773629830.381
Austria,AUT,2021,480467037338.783
Austria,AUT,2020,434397601557.696
Austria,AUT,2019,442983642371.842
Austria,AUT,2018,452582294972.775
Austria,AUT,2017,414926138132.691
Austria,AUT,2016,393687359770.273
Austria,AUT,2015,379546097300.633
Austria,AUT,2014,438556021078.034
Austria,AUT,2013,426580502769.417
Austria,AUT,2012,406750487603.59
Austria,AUT,2011,428954737064.057
Austria,AUT,2010,389827789217.634
Belarus,BLR,2022,73775179924.603
Belarus,BLR,2021,69673747131.87
Belarus,BLR,2020,61371673344.7424
Belarus,BLR,2019,64410170653.4569
Belarus,BLR,2018,60031026576.26
Belarus,BLR,2017,54725405751.1559
Belarus,BLR,2016,47723545321.259
Belarus,BLR,2015,56454769844.7632
Belarus,BLR,2014,78813069120.9984
Belarus,BLR,2013,75527558966.4473
Belarus,BLR,2012,65685890438.8922
Belarus,BLR,2011,61762382327.9319
Belarus,BLR,2010,57231904542.8755
Belgium,BEL,2022,593614574325.878
Belgium,BEL,2021,598522422241.851
Belgium,BEL,2020,529694473501.791
Belgium,BEL,2019,536726344405.489
Belgium,BEL,2018,542638913427.921
Belgium,BEL,2017,500908767351.53
Belgium,BEL,2016,474271566739.729
Belgium,BEL,2015,461044767544.531
Belgium,BEL,2014,537987419164.351
Belgium,BEL,2013,524097026598.55
Belgium,BEL,2012,498414364944.961
Belgium,BEL,2011,527196649048.639
Belgium,BEL,2010,481556503720.001
Bosnia and Herzegovina,BIH,2022,24534663636.1778
Bosnia and Herzegovina,BIH,2021,23672712242.2149
Bosnia and Herzegovina,BIH,2020,20226036564.4129
Bosnia and Herzegovina,BIH,2019,20482608755.379
Bosnia and Herzegovina,BIH,2018,20484053868.9246
Bosnia and Herzegovina,BIH,2017,18326373366.1105
Bosnia and Herzegovina,BIH,2016,17116926327.6247
Bosnia and Herzegovina,BIH,2015,16404348871.4437
Bosnia and Herzegovina,BIH,2014,18558733564.4692
Bosnia and Herzegovina,BIH,2013,18179108530.5261
Bosnia and Herzegovina,BIH,2012,17226735995.6905
Bosnia and Herzegovina,BIH,2011,18644233537.1093
Bosnia and Herzegovina,BIH,2010,17176315803.7298
Bulgaria,BGR,2022,90509236929.2237
Bulgaria,BGR,2021,84414122840.1687
Bulgaria,BGR,2020,70550652466.6251
Bulgaria,BGR,2019,68634004792.1
Bulgaria,BGR,2018,66251582035.9412
Bulgaria,BGR,2017,59167647387.606
Bulgaria,BGR,2016,53929397039.2106
Bulgaria,BGR,2015,50765918159.1476
Bulgaria,BGR,2014,57080897012.1077
Bulgaria,BGR,2013,55819262374.9039
Bulgaria,BGR,2012,54297052002.2338
Bulgaria,BGR,2011,57681293006.9721
Bulgaria,BGR,2010,50689051382.4361
Croatia,HRV,2022,71198635101.9514
Croatia,HRV,2021,69006802298.6956
Croatia,HRV,2020,57963370885.0798
Croatia,HRV,2019,61467582193.6824
Croatia,HRV,2018,61668130122.5878
Croatia,HRV,2017,56186190437.9959
Croatia,HRV,2016,52654855638.1057
Croatia,HRV,2015,51005200669.6941
Croatia,HRV,2014,59612144078.4133
Croatia,HRV,2013,59852401272.3204
Croatia,HRV,2012,57551963753.2104
Croatia,HRV,2011,62903737379.7834
Croatia,HRV,2010,58981738868.753
Cyprus,CYP,2022,30935566076.6788
Cyprus,CYP,2021,30372642502.4897
Cyprus,CYP,2020,25555093854.2968
Cyprus,CYP,2019,26196667099.5303
Cyprus,CYP,2018,25754001367.5448
Cyprus,CYP,2017,22946570628.7576
Cyprus,CYP,2016,21046462280.5979
Cyprus,CYP,2015,19909278416.8575
Cyprus,CYP,2014,23225918259.9824
Cyprus,CYP,2013,23959712860.8331
Cyprus,CYP,2012,25047436974.6819
Cyprus,CYP,2011,27641547909.7011
Cyprus,CYP,2010,25799940077.6075
Czechia,CZE,2022,301831228325.556
Czechia,CZE,2021,290972714482.313
Czechia,CZE,2020,251109660602.536
Czechia,CZE,2019,256794209028.77
Czechia,CZE,2018,251992360762.236
Czechia,CZE,2017,221563575696.217
Czechia,CZE,2016,198160659303.939
Czechia,CZE,2015,189107698561.919
Czechia,CZE,2014,210911285077.683
Czechia,CZE,2013,213024360541.119
Czechia,CZE,2012,210363223087.728
Czechia,CZE,2011,231429378717.312
Czechia,CZE,2010,211168667286.27
Denmark,DNK,2022,401945576107.963
Denmark,DNK,2021,408378204639.999
Denmark,DNK,2020,355631021931.621
Denmark,DNK,2019,345401473012.615
Denmark,DNK,2018,355293374912.393
Denmark,DNK,2017,331610593961.988
Denmark,DNK,2016,312181849372.233
Denmark,DNK,2015,301758922337.637
Denmark,DNK,2014,352832602064.452
Denmark,DNK,2013,344631016965.12
Denmark,DNK,2012,326792574244.963
Denmark,DNK,2011,344315595263.175
Denmark,DNK,2010,322345594075.47
Estonia,EST,2022,38376046174.971
Estonia,EST,2021,37204563051.4723
Estonia,EST,2020,31820771493.8974
Estonia,EST,2019,31873748770.0313
Estonia,EST,2018,31222632740.7247
Estonia,EST,2017,27469461919.1189
Estonia,EST,2016,24561027787.7896
Estonia,EST,2015,23311847750.9394
Estonia,EST,2014,27055689003.0038
Estonia,EST,2013,25451032780.7573
Estonia,EST,2012,23237406116.3988
Estonia,EST,2011,23303915794.7569
Estonia,EST,2010,19524355419.038
Finland,FIN,2022,280253099309.34
Finland,FIN,2021,294223210496.119
Finland,FIN,2020,270000311606.226
Finland,FIN,2019,267014821129.411
Finland,FIN,2018,273869255596.078
Finland,FIN,2017,253846138440.0
Finland,FIN,2016,238777818792.608
Finland,FIN,2015,233210733506.25
Finland,FIN,2014,273478528954.901
Finland,FIN,2013,270268036626.275
Finland,FIN,2012,257443384492.969
Finland,FIN,2011,275126915515.565
Finland,FIN,2010,249429613683.334
France,FRA,2022,2796302210398.84
France,FRA,2021,2966433692008.09
France,FRA,2020,2647926055110.05
France,FRA,2019,2722793515171.76
France,FRA,2018,2781576320884.39
France,FRA,2017,2588868323334.71
France,FRA,2016,2470407619777.13
France,FRA,2015,2442483452642.5
France,FRA,2014,2861236112552.42
France,FRA,2013,2816077607875.26
France,FRA,2012,2683007095787.23
France,FRA,2011,2870408553990.28
France,FRA,2010,2646230027988.34
Germany,DEU,2022,4163596357879.39
Germany,DEU,2021,4348297440387.53
Germany,DEU,2020,3940142541354.1
Germany,DEU,2019,3957208055215.68
Germany,DEU,2018,4052008447223.53
Germany,DEU,2017,3763092263752.95
Germany,DEU,2016,3537784107980.55
Germany,DEU,2015,3423568450957.03
Germany,DEU,2014,3965800686309.79
Germany,DEU,2013,3808086291482.36
Germany,DEU,2012,3597896500945.31
Germany,DEU,2011,3824828563521.41
Germany,DEU,2010,3468154343000.01
Greece,GRC,2022,218880566444.349
Greece,GRC,2021,218303801895.326
Greece,GRC,2020,191362985554.861
Greece,GRC,2019,207305649887.019
Greece,GRC,2018,213298873494.394
Greece,GRC,2017,200381103984.298
Greece,GRC,2016,193097239005.87
Greece,GRC,2015,194567373678.099
Greece,GRC,2014,233911581521.062
Greece,GRC,2013,236556279640.705
Greece,GRC,2012,238841140018.233
Greece,GRC,2011,283228079776.041
Greece,GRC,2010,296417644404.034
Hungary,HUN,2022,177536698164.902
Hungary,HUN,2021,183282685440.486
Hungary,HUN,2020,158468487754.196
Hungary,HUN,2019,164936682033.992
Hungary,HUN,2018,161184691013.835
Hungary,HUN,2017,143335098991.862
Hungary,HUN,2016,128983560865.293
Hungary,HUN,2015,125244126623.289
Hungary,HUN,2014,141128696412.321
Hungary,HUN,2013,135646053778.582
Hungary,HUN,2012,128470269689.958
Hungary,HUN,2011,141712804953.868
Hungary,HUN,2010,131898737241.166
Iceland,ISL,2022,28696453180.1657
Iceland,ISL,2021,25770339317.3897
Iceland,ISL,2020,21629953194.0659
Iceland,ISL,2019,24681343649.2952
Iceland,ISL,2018,26260850582.0687
Iceland,ISL,2017,24728285177.4603
Iceland,ISL,2016,20793168030.9524
Iceland,ISL,2015,17517210519.0912
Iceland,ISL,2014,17867662177.8911
Iceland,ISL,2013,16125060515.3117
Iceland,ISL,2012,14751508133.5443
Iceland,ISL,2011,15221622925.9319
Iceland,ISL,2010,13751161917.7398
Ireland,IRL,2022,548570250341.987
Ireland,IRL,2021,531306516907.984
Ireland,IRL,2020,436555518400.451
Ireland,IRL,2019,407124824064.995
Ireland,IRL,2018,395461216460.418
Ireland,IRL,2017,348532394023.595
Ireland,IRL,2016,305733136180.907
Ireland,IRL,2015,302391428540.035
Ireland,IRL,2014,266787238499.03
Ireland,IRL,2013,243301556084.989
Ireland,IRL,2012,227270922957.327
Ireland,IRL,2011,241337364609.738
Ireland,IRL,2010,221985621537.5
Italy,ITA,2022,2104067630319.46
Italy,ITA,2021,2179207773596.09
Italy,ITA,2020,1907481094079.23
Italy,ITA,2019,2019606796583.53
Italy,ITA,2018,2099435266458.67
Italy,ITA,2017,1970720904584.71
Italy,ITA,2016,1887111188176.93
Italy,ITA,2015,1845428048839.1
Italy,ITA,2014,2173255507985.84
Italy,ITA,2013,2153225581941.46
Italy,ITA,2012,2097929495121.68
Italy,ITA,2011,2306974020278.21
Italy,ITA,2010,2144936254535.0
Latvia,LVA,2022,38014713595.7686
Latvia,LVA,2021,38183326784.9335
Latvia,LVA,2020,33379927434.6149
Latvia,LVA,2019,33099503950.847
Latvia,LVA,2018,33247935477.3576
Latvia,LVA,2017,29391059767.4259
Latvia,LVA,2016,27117105059.5075
Latvia,LVA,2015,26344565876.8902
Latvia,LVA,2014,30277203767.4058
Latvia,LVA,2013,29152128167.8438
Latvia,LVA,2012,27116149948.6683
Latvia,LVA,2011,26575547900.8247
Latvia,LVA,2010,23468324572.3343
Liechtenstein,LIE,2022,7378156576.2354
Liechtenstein,LIE,2021,7912602342.18895
Liechtenstein,LIE,2020,6405870210.32293
Liechtenstein,LIE,2019,6436467007.11932
Liechtenstein,LIE,2018,6692620691.84146
Liechtenstein,LIE,2017,6474308717.85289
Liechtenstein,LIE,2016,6237302033.50132
Liechtenstein,LIE,2015,6268515276.17441
Liechtenstein,LIE,2014,6657526979.72277
Liechtenstein,LIE,2013,6391708310.67727
Liechtenstein,LIE,2012,5456102482.28614
Liechtenstein,LIE,2011,5739706004.89616
Liechtenstein,LIE,2010,5082337238.44718
Lithuania,LTU,2022,71033884499.7824
Lithuania,LTU,2021,67037321008.9679
Lithuania,LTU,2020,57412038533.2718
Lithuania,LTU,2019,55122066225.796
Lithuania,LTU,2018,54261795148.5372
Lithuania,LTU,2017,47756764508.446
Lithuania,LTU,2016,42970749245.0336
Lithuania,LTU,2015,41540954817.2039
Lithuania,LTU,2014,48306546656.9281
Lithuania,LTU,2013,46303660422.0434
Lithuania,LTU,2012,42709372066.8627
Lithuania,LTU,2011,43186501862.7907
Lithuania,LTU,2010,36638128534.0643
Luxembourg,LUX,2022,80801680397.0139
Luxembourg,LUX,2021,86386759695.1653
Luxembourg,LUX,2020,73670782100.3909
Luxembourg,LUX,2019,69872035113.6469
Luxembourg,LUX,2018,71085623495.1145
Luxembourg,LUX,2017,65712180342.9836
Luxembourg,LUX,2016,62216885435.9488
Luxembourg,LUX,2015,60071584216.1375
Luxembourg,LUX,2014,68804811897.6445
Luxembourg,LUX,2013,65203276466.9763
Luxembourg,LUX,2012,59776383527.3602
Luxembourg,LUX,2011,61696281326.2453
Luxembourg,LUX,2010,56213985987.4168
Malta,MLT,2022,19239187083.5194
Malta,MLT,2021,19723563354.6779
Malta,MLT,2020,16409900599.1964
Malta,MLT,2019,16337793530.7788
Malta,MLT,2018,16153779511.1559
Malta,MLT,2017,14161366732.7153
Malta,MLT,2016,12025782885.2772
Malta,MLT,2015,11340795032.9304
Malta,MLT,2014,11888032861.804
Malta,MLT,2013,10796782633.5257
Malta,MLT,2012,9609532105.58909
Malta,MLT,2011,9789361705.08927
Malta,MLT,2010,9097044182.15877
Moldova,MDA,2022,14525337523.7271
Moldova,MDA,2021,13691869264.0794
Moldova,MDA,2020,11530746234.4492
Moldova,MDA,2019,11736797054.6965
Moldova,MDA,2018,11252353420.8798
Moldova,MDA,2017,9514404016.20949
Moldova,MDA,2016,7980917075.7748
Moldova,MDA,2015,7797667196.73087
Moldova,MDA,2014,9402090137.7423
Moldova,MDA,2013,9496717875.51932
Moldova,MDA,2012,8709138634.82921
Moldova,MDA,2011,8414352020.49442
Moldova,MDA,2010,6974982369.60155
Monaco,MCO,2022,8800430486.17137
Monaco,MCO,2021,8623242743.29564
Monaco,MCO,2020,6730736282.78961
Monaco,MCO,2019,7383496254.23721
Monaco,MCO,2018,7184333936.01355
Monaco,MCO,2017,6430254652.58934
Monaco,MCO,2016,6471290793.55029
Monaco,MCO,2015,6264756528.37691
Monaco,MCO,2014,7070017323.65476
Monaco,MCO,2013,6555591709.88585
Monaco,MCO,2012,5742749294.00852
Monaco,MCO,2011,6088689808.38347
Monaco,MCO,2010,5367561569.59548
Montenegro,MNE,2022,6229801580.79157
Montenegro,MNE,2021,5861427505.12493
Montenegro,MNE,2020,4769996866.00758
Montenegro,MNE,2019,5542054181.12616
Montenegro,MNE,2018,5506942238.35668
Montenegro,MNE,2017,4856599480.79882
Montenegro,MNE,2016,4376930578.32395
Montenegro,MNE,2015,4054730077.57718
Montenegro,MNE,2014,4593853290.963
Montenegro,MNE,2013,4465772400.37453
Montenegro,MNE,2012,4087526241.81268
Montenegro,MNE,2011,4544428421.49513
Montenegro,MNE,2010,4142983843.4912
Netherlands,NLD,2022,1046540797548.64
Netherlands,NLD,2021,1054472123449.6
Netherlands,NLD,2020,932560861701.17
Netherlands,NLD,2019,928903005576.469
Netherlands,NLD,2018,929733599796.862
Netherlands,NLD,2017,848233537845.884
Netherlands,NLD,2016,797163949289.885
Netherlands,NLD,2015,775743675302.734
Netherlands,NLD,2014,901556501756.467
Netherlands,NLD,2013,883951539006.669
Netherlands,NLD,2012,845689017065.625
Netherlands,NLD,2011,913140741332.687
Netherlands,NLD,2010,852464982433.335
North Macedonia,MKD,2022,13932436550.0883
North Macedonia,MKD,2021,14000283827.0154
North Macedonia,MKD,2020,12361036913.8409
North Macedonia,MKD,2019,12606338448.547
North Macedonia,MKD,2018,12683068114.2388
North Macedonia,MKD,2017,11307067069.6658
North Macedonia,MKD,2016,10672467073.2873
North Macedonia,MKD,2015,10064519962.5655
North Macedonia,MKD,2014,11362265252.778
North Macedonia,MKD,2013,10817702346.0674
North Macedonia,MKD,2012,9745261300.57788
North Macedonia,MKD,2011,10494626767.6445
North Macedonia,MKD,2010,9407170321.37752
Norway,NOR,2022,596297651035.798
Norway,NOR,2021,503367986030.268
Norway,NOR,2020,367633418886.627
Norway,NOR,2019,408742840909.091
Norway,NOR,2018,439788625883.8
Norway,NOR,2017,401745275035.261
Norway,NOR,2016,370956547619.048
Norway,NOR,2015,388159512245.53
Norway,NOR,2014,501736471832.848
Norway,NOR,2013,526014468085.106
Norway,NOR,2012,512777309840.997
Norway,NOR,2011,501360549669.404
Norway,NOR,2010,431052143940.438
Poland,POL,2022,695607522884.822
Poland,POL,2021,689170171187.004
Poland,POL,2020,605914186117.953
Poland,POL,2019,602683770144.88
Poland,POL,2018,594616632477.019
Poland,POL,2017,528356723263.073
Poland,POL,2016,473259623976.262
Poland,POL,2015,480054118583.367
Poland,POL,2014,542134167178.627
Poland,POL,2013,518179836405.36
Poland,POL,2012,498148649702.66
Poland,POL,2011,527848543023.469
Poland,POL,2010,478111630683.514
Portugal,PRT,2022,256898675068.927
Portugal,PRT,2021,256055879091.139
Portugal,PRT,2020,229618773422.577
Portugal,PRT,2019,240115970063.019
Portugal,PRT,2018,242092894542.888
Portugal,PRT,2017,220862990767.229
Portugal,PRT,2016,206305431241.638
Portugal,PRT,2015,199038523119.639
Portugal,PRT,2014,230078616299.675
Portugal,PRT,2013,226677408291.745
Portugal,PRT,2012,216536676771.973
Portugal,PRT,2011,245426767676.002
Portugal,PRT,2010,238443864993.217
Romania,ROU,2022,296354358293.475
Romania,ROU,2021,286578196368.297
Romania,ROU,2020,252033792712.145
Romania,ROU,2019,251677082534.495
Romania,ROU,2018,243468683030.34
Romania,ROU,2017,210147385855.419
Romania,ROU,2016,185290759248.844
Romania,ROU,2015,177885131240.315
Romania,ROU,2014,199722319675.741
Romania,ROU,2013,189798603751.235
Romania,ROU,2012,179117323107.087
Romania,ROU,2011,192623977894.173
Romania,ROU,2010,170064350671.827
Russian Federation,RUS,2022,2291612121334.64
Russian Federation,RUS,2021,1829186719575.1
Russian Federation,RUS,2020,1493075894362.14
Russian Federation,RUS,2019,1693115002708.32
Russian Federation,RUS,2018,1657328773461.31
Russian Federation,RUS,2017,1574199360089.0
Russian Federation,RUS,2016,1276786350881.14
Russian Federation,RUS,2015,1363482182197.71
Russian Federation,RUS,2014,2059241589895.01
Russian Federation,RUS,2013,2292470078346.22
Russian Federation,RUS,2012,2208293553878.42
Russian Federation,RUS,2011,2045922753398.04
Russian Federation,RUS,2010,1524916715223.95
San Marino,SMR,2022,1831700577.08904
San Marino,SMR,2021,1855395999.76534
San Marino,SMR,2020,1544714493.24409
San Marino,SMR,2019,1616232125.12587
San Marino,SMR,2018,1655353653.05934
San Marino,SMR,2017,1528620346.31168
San Marino,SMR,2016,1468343139.74326
San Marino,SMR,2015,1419401070.56043
San Marino,SMR,2014,1673911426.17254
San Marino,SMR,2013,1678741475.14095
San Marino,SMR,2012,1604701299.43546
San Marino,SMR,2011,1813717438.69134
San Marino,SMR,2010,1881191925.32503
Serbia,SRB,2022,66797564758.339
Serbia,SRB,2021,66159884072.5308
Serbia,SRB,2020,55874017668.998
Serbia,SRB,2019,53864693664.5568
Serbia,SRB,2018,52787520248.9242
Serbia,SRB,2017,45972834713.8077
Serbia,SRB,2016,42225495909.5633
Serbia,SRB,2015,41297410634.9586
Serbia,SRB,2014,49114321280.3466
Serbia,SRB,2013,50455529604.0696
Serbia,SRB,2012,45103269969.4112
Serbia,SRB,2011,51251098408.0924
Serbia,SRB,2010,43536629233.1424
Slovak Republic,SVK,2022,115884262197.697
Slovak Republic,SVK,2021,120560912620.599
Slovak Republic,SVK,2020,107732602896.441
Slovak Republic,SVK,2019,105843498304.094
Slovak Republic,SVK,2018,106611673364.837
Slovak Republic,SVK,2017,95978130734.9766
Slovak Republic,SVK,2016,90347173228.6356
Slovak Republic,SVK,2015,89178548717.3324
Slovak Republic,SVK,2014,101713075598.862
Slovak Republic,SVK,2013,99134277850.3418
Slovak Republic,SVK,2012,94724394278.052
Slovak Republic,SVK,2011,99705104723.4341
Slovak Republic,SVK,2010,91112160800.7668
Slovenia,SVN,2022,59927702746.2843
Slovenia,SVN,2021,61529280461.092
Slovenia,SVN,2020,53384760135.1581
Slovenia,SVN,2019,53909922735.545
Slovenia,SVN,2018,53689067639.9176
Slovenia,SVN,2017,48153200134.6613
Slovenia,SVN,2016,44290685824.0682
Slovenia,SVN,2015,42709468274.8137
Slovenia,SVN,2014,49514466379.6057
Slovenia,SVN,2013,47867056858.8892
Slovenia,SVN,2012,46167053954.3367
Slovenia,SVN,2011,51199194599.3094
Slovenia,SVN,2010,47793117240.9001
Spain,ESP,2022,1446498147749.03
Spain,ESP,2021,1461244901852.69
Spain,ESP,2020,1289783836971.21
Spain,ESP,2019,1403496387686.27
Spain,ESP,2018,1431642809327.06
Spain,ESP,2017,1321754088818.83
Spain,ESP,2016,1243015667917.12
Spain,ESP,2015,1206164777553.12
Spain,ESP,2014,1380244561361.96
Spain,ESP,2013,1362186923157.65
Spain,ESP,2012,1330994811670.31
Spain,ESP,2011,1487568659241.25
Spain,ESP,2010,1427989078916.67
Sweden,SWE,2022,579895717343.956
Sweden,SWE,2021,637186904843.636
Sweden,SWE,2020,545147614972.141
Sweden,SWE,2019,532169294165.94
Sweden,SWE,2018,551312498430.164
Sweden,SWE,2017,536083940228.684
Sweden,SWE,2016,514218206628.325
Sweden,SWE,2015,501698263620.663
Sweden,SWE,2014,577730245154.162
Sweden,SWE,2013,584128116410.29
Sweden,SWE,2012,549742183874.355
Sweden,SWE,2011,570541353128.724
Sweden,SWE,2010,492753255885.718
Switzerland,CHE,2022,828508926958.393
Switzerland,CHE,2021,815309330986.719
Switzerland,CHE,2020,741999406005.627
Switzerland,CHE,2019,721369112726.724
Switzerland,CHE,2018,725568717468.001
Switzerland,CHE,2017,695200834102.045
Switzerland,CHE,2016,687895460902.713
Switzerland,CHE,2015,694118186379.628
Switzerland,CHE,2014,726537809429.524
Switzerland,CHE,2013,706234937370.968
Switzerland,CHE,2012,686420221557.99
Switzerland,CHE,2011,715888126682.396
Switzerland,CHE,2010,598851027947.721
Ukraine,UKR,2022,161989520721.19
Ukraine,UKR,2021,199765859570.935
Ukraine,UKR,2020,156617722013.342
Ukraine,UKR,2019,153883047509.577
Ukraine,UKR,2018,130891088293.55
Ukraine,UKR,2017,112090505081.739
Ukraine,UKR,2016,93355869403.9223
Ukraine,UKR,2015,91030967789.0717
Ukraine,UKR,2014,133503871861.723
Ukraine,UKR,2013,190498811460.028
Ukraine,UKR,2012,182591753827.949
Ukraine,UKR,2011,169333835201.554
Ukraine,UKR,2010,141209170427.233
United Kingdom,GBR,2022,3114042471144.39
United Kingdom,GBR,2021,3143323050707.26
United Kingdom,GBR,2020,2696778386607.65
United Kingdom,GBR,2019,2851407164907.81
United Kingdom,GBR,2018,2871340347581.79
United Kingdom,GBR,2017,2680148052335.3
United Kingdom,GBR,2016,2689106566899.61
United Kingdom,GBR,2015,2927911140916.73
United Kingdom,GBR,2014,3064708247921.43
United Kingdom,GBR,2013,2784853502534.29
United Kingdom,GBR,2012,2707089726614.64
United Kingdom,GBR,2011,2663805834828.07
United Kingdom,GBR,2010,2485482596184.71
