country,country_code,year,population
Albania,ALB,2022,2777689.0
Albania,ALB,2021,2811666.0
Albania,ALB,2020,2837849.0
Albania,ALB,2019,2854191.0
Albania,ALB,2018,2866376.0
Albania,ALB,2017,2873457.0
Albania,ALB,2016,2876101.0
Albania,ALB,2015,2880703.0
Albania,ALB,2014,2889104.0
Albania,ALB,2013,2895092.0
Albania,ALB,2012,2900401.0
Albania,ALB,2011,2905195.0
Albania,ALB,2010,2913021.0
Andorra,AND,2022,79705.0
Andorra,AND,2021,78364.0
Andorra,AND,2020,77380.0
Andorra,AND,2019,76474.0
Andorra,AND,2018,75162.0
Andorra,AND,2017,73763.0
Andorra,AND,2016,72181.0
Andorra,AND,2015,72174.0
Andorra,AND,2014,73737.0
Andorra,AND,2013,75194.0
Andorra,AND,2012,76834.0
Andorra,AND,2011,77783.0
Andorra,AND,2010,80706.0
Austria,AUT,2022,9041851.0
Austria,AUT,2021,8955797.0
Austria,AUT,2020,8916864.0
Austria,AUT,2019,8879920.0
Austria,AUT,2018,8840521.0
Austria,AUT,2017,8797566.0
Austria,AUT,2016,8736668.0
Austria,AUT,2015,8642699.0
Austria,AUT,2014,8546356.0
Austria,AUT,2013,8479823.0
Austria,AUT,2012,8429991.0
Austria,AUT,2011,8391643.0
Austria,AUT,2010,8363404.0
Belarus,BLR,2022,9228071.0
Belarus,BLR,2021,9302585.0
Belarus,BLR,2020,9379952.0
Belarus,BLR,2019,9419758.0
Belarus,BLR,2018,9438785.0
Belarus,BLR,2017,9458989.0
Belarus,BLR,2016,9469379.0
Belarus,BLR,2015,9461076.0
Belarus,BLR,2014,9448515.0
Belarus,BLR,2013,9443211.0
Belarus,BLR,2012,9446836.0
Belarus,BLR,2011,9461643.0
Belarus,BLR,2010,9483836.0
Belgium,BEL,2022,11680210.0
Belgium,BEL,2021,11586195.0
Belgium,BEL,2020,11538604.0
Belgium,BEL,2019,11488980.0
Belgium,BEL,2018,11427054.0
Belgium,BEL,2017,11375158.0
Belgium,BEL,2016,11331422.0
Belgium,BEL,2015,11274196.0
Belgium,BEL,2014,11209057.0
Belgium,BEL,2013,11159407.0
Belgium,BEL,2012,11106932.0
Belgium,BEL,2011,11038264.0
Belgium,BEL,2010,10895586.0
Bosnia and Herzegovina,BIH,2022,3204802.0
Bosnia and Herzegovina,BIH,2021,3244907.0
Bosnia and Herzegovina,BIH,2020,3299349.0
Bosnia and Herzegovina,BIH,2019,3345533.0
Bosnia and Herzegovina,BIH,2018,3387000.0
Bosnia and Herzegovina,BIH,2017,3428682.0
Bosnia and Herzegovina,BIH,2016,3473003.0
Bosnia and Herzegovina,BIH,2015,3518541.0
Bosnia and Herzegovina,BIH,2014,3564829.0
Bosnia and Herzegovina,BIH,2013,3610859.0
Bosnia and Herzegovina,BIH,2012,3670113.0
Bosnia and Herzegovina,BIH,2011,3741798.0
Bosnia and Herzegovina,BIH,2010,3811472.0
Bulgaria,BGR,2022,6465097.0
Bulgaria,BGR,2021,6507301.0
Bulgaria,BGR,2020,6550696.0
Bulgaria,BGR,2019,6616726.0
Bulgaria,BGR,2018,6710798.0
Bulgaria,BGR,2017,6803468.0
Bulgaria,BGR,2016,6894139.0
Bulgaria,BGR,2015,6984225.0
Bulgaria,BGR,2014,7073572.0
Bulgaria,BGR,2013,7160005.0
Bulgaria,BGR,2012,7305888.0
Bulgaria,BGR,2011,7348328.0
Bulgaria,BGR,2010,7395599.0
Croatia,HRV,2022,3855641.0
Croatia,HRV,2021,3878981.0
Croatia,HRV,2020,3914206.0
Croatia,HRV,2019,3949390.0
Croatia,HRV,2018,3988775.0
Croatia,HRV,2017,4041407.0
Croatia,HRV,2016,4106867.0
Croatia,HRV,2015,4151725.0
Croatia,HRV,2014,4201598.0
Croatia,HRV,2013,4233922.0
Croatia,HRV,2012,4260368.0
Croatia,HRV,2011,4280622.0
Croatia,HRV,2010,4295427.0
Cyprus,CYP,2022,1331370.0
Cyprus,CYP,2021,1317309.0
Cyprus,CYP,2020,1302247.0
Cyprus,CYP,2019,1286671.0
Cyprus,CYP,2018,1270737.0
Cyprus,CYP,2017,1254275.0
Cyprus,CYP,2016,1237112.0
Cyprus,CYP,2015,1219502.0
Cyprus,CYP,2014,1201801.0
Cyprus,CYP,2013,1183895.0
Cyprus,CYP,2012,1165397.0
Cyprus,CYP,2011,1146493.0
Cyprus,CYP,2010,1127816.0
Czechia,CZE,2022,10672118.0
Czechia,CZE,2021,10505772.0
Czechia,CZE,2020,10697858.0
Czechia,CZE,2019,10671870.0
Czechia,CZE,2018,10629928.0
Czechia,CZE,2017,10594438.0
Czechia,CZE,2016,10566332.0
Czechia,CZE,2015,10546059.0
Czechia,CZE,2014,10525347.0
Czechia,CZE,2013,10514272.0
Czechia,CZE,2012,10510785.0
Czechia,CZE,2011,10496088.0
Czechia,CZE,2010,10474410.0
Denmark,DNK,2022,5903037.0
Denmark,DNK,2021,5856733.0
Denmark,DNK,2020,5831404.0
Denmark,DNK,2019,5814422.0
Denmark,DNK,2018,5793636.0
Denmark,DNK,2017,5764980.0
Denmark,DNK,2016,5728010.0
Denmark,DNK,2015,5683483.0
Denmark,DNK,2014,5643475.0
Denmark,DNK,2013,5614932.0
Denmark,DNK,2012,5591572.0
Denmark,DNK,2011,5570572.0
Denmark,DNK,2010,5547683.0
Estonia,EST,2022,1348840.0
Estonia,EST,2021,1330932.0
Estonia,EST,2020,1329522.0
Estonia,EST,2019,1326898.0
Estonia,EST,2018,1321977.0
Estonia,EST,2017,1317384.0
Estonia,EST,2016,1315790.0
Estonia,EST,2015,1315407.0
Estonia,EST,2014,1314545.0
Estonia,EST,2013,1317997.0
Estonia,EST,2012,1322696.0
Estonia,EST,2011,1327439.0
Estonia,EST,2010,1331475.0
Finland,FIN,2022,5556106.0
Finland,FIN,2021,5541017.0
Finland,FIN,2020,5529543.0
Finland,FIN,2019,5521606.0
Finland,FIN,2018,5515525.0
Finland,FIN,2017,5508214.0
Finland,FIN,2016,5495303.0
Finland,FIN,2015,5479531.0
Finland,FIN,2014,5461512.0
Finland,FIN,2013,5438972.0
Finland,FIN,2012,5413971.0
Finland,FIN,2011,5388272.0
Finland,FIN,2010,5363352.0
France,FRA,2022,68065015.0
France,FRA,2021,67842811.0
France,FRA,2020,67601110.0
France,FRA,2019,67382061.0
France,FRA,2018,67158348.0
France,FRA,2017,66918020.0
France,FRA,2016,66724104.0
France,FRA,2015,66548272.0
France,FRA,2014,66312067.0
France,FRA,2013,65997932.0
France,FRA,2012,65657659.0
France,FRA,2011,65340830.0
France,FRA,2010,65026211.0
Germany,DEU,2022,83797985.0
Germany,DEU,2021,83196078.0
Germany,DEU,2020,83160871.0
Germany,DEU,2019,83092962.0
Germany,DEU,2018,82905782.0
Germany,DEU,2017,82657002.0
Germany,DEU,2016,82348669.0
Germany,DEU,2015,81686611.0
Germany,DEU,2014,80982500.0
Germany,DEU,2013,80645605.0
Germany,DEU,2012,80425823.0
Germany,DEU,2011,80274983.0
Germany,DEU,2010,81776930.0
Greece,GRC,2022,10436882.0
Greece,GRC,2021,10569207.0
Greece,GRC,2020,10698599.0
Greece,GRC,2019,10721582.0
Greece,GRC,2018,10732882.0
Greece,GRC,2017,10754679.0
Greece,GRC,2016,10775971.0
Greece,GRC,2015,10820883.0
Greece,GRC,2014,10892413.0
Greece,GRC,2013,10965211.0
Greece,GRC,2012,11045011.0
Greece,GRC,2011,11104899.0
Greece,GRC,2010,11121341.0
Hungary,HUN,2022,9605074.0
Hungary,HUN,2021,9630932.0
Hungary,HUN,2020,9670419.0
Hungary,HUN,2019,9694824.0
Hungary,HUN,2018,9706964.0
Hungary,HUN,2017,9726756.0
Hungary,HUN,2016,9759755.0
Hungary,HUN,2015,9797755.0
Hungary,HUN,2014,9833038.0
Hungary,HUN,2013,9872734.0
Hungary,HUN,2012,9920362.0
Hungary,HUN,2011,9971727.0
Hungary,HUN,2010,10000023.0
Iceland,ISL,2022,382003.0
Iceland,ISL,2021,372520.0
Iceland,ISL,2020,366463.0
Iceland,ISL,2019,360563.0
Iceland,ISL,2018,352721.0
Iceland,ISL,2017,343400.0
Iceland,ISL,2016,335439.0
Iceland,ISL,2015,330815.0
Iceland,ISL,2014,327386.0
Iceland,ISL,2013,323764.0
Iceland,ISL,2012,320716.0
Iceland,ISL,2011,319014.0
Iceland,ISL,2010,318041.0
Ireland,IRL,2022,5212836.0
Ireland,IRL,2021,5110585.0
Ireland,IRL,2020,5039747.0
Ireland,IRL,2019,4976456.0
Ireland,IRL,2018,4898022.0
Ireland,IRL,2017,4827445.0
Ireland,IRL,2016,4762722.0
Ireland,IRL,2015,4701957.0
Ireland,IRL,2014,4657740.0
Ireland,IRL,2013,4623816.0
Ireland,IRL,2012,4599533.0
Ireland,IRL,2011,4580084.0
Ireland,IRL,2010,4560155.0
Italy,ITA,2022,59013667.0
Italy,ITA,2021,59133173.0
Italy,ITA,2020,59438851.0
Italy,ITA,2019,59729081.0
Italy,ITA,2018,60148658.0
Italy,ITA,2017,60002252.0
Italy,ITA,2016,60115223.0
Italy,ITA,2015,60229605.0
Italy,ITA,2014,60320707.0
Italy,ITA,2013,60311613.0
Italy,ITA,2012,60191247.0
Italy,ITA,2011,60026841.0
Italy,ITA,2010,59819407.0
Latvia,LVA,2022,1879383.0
Latvia,LVA,2021,1884490.0
Latvia,LVA,2020,1900449.0
Latvia,LVA,2019,1913822.0
Latvia,LVA,2018,1927174.0
Latvia,LVA,2017,1942248.0
Latvia,LVA,2016,1959537.0
Latvia,LVA,2015,1977527.0
Latvia,LVA,2014,1993782.0
Latvia,LVA,2013,2012647.0
Latvia,LVA,2012,2034319.0
Latvia,LVA,2011,2059709.0
Latvia,LVA,2010,2097555.0
Liechtenstein,LIE,2022,39493.0
Liechtenstein,LIE,2021,39182.0
Liechtenstein,LIE,2020,38901.0
Liechtenstein,LIE,2019,38563.0
Liechtenstein,LIE,2018,38246.0
Liechtenstein,LIE,2017,37962.0
Liechtenstein,LIE,2016,37716.0
Liechtenstein,LIE,2015,37494.0
Liechtenstein,LIE,2014,37248.0
Liechtenstein,LIE,2013,36984.0
Liechtenstein,LIE,2012,36657.0
Liechtenstein,LIE,2011,36312.0
Liechtenstein,LIE,2010,36022.0
Lithuania,LTU,2022,2831639.0
Lithuania,LTU,2021,2808380.0
Lithuania,LTU,2020,2810369.0
Lithuania,LTU,2019,2811089.0
Lithuania,LTU,2018,2819200.0
Lithuania,LTU,2017,2842639.0
Lithuania,LTU,2016,2877325.0
Lithuania,LTU,2015,2911109.0
Lithuania,LTU,2014,2937253.0
Lithuania,LTU,2013,2961250.0
Lithuania,LTU,2012,2989139.0
Lithuania,LTU,2011,3028115.0
Lithuania,LTU,2010,3097282.0
Luxembourg,LUX,2022,653103.0
Luxembourg,LUX,2021,640064.0
Luxembourg,LUX,2020,630419.0
Luxembourg,LUX,2019,620001.0
Luxembourg,LUX,2018,607950.0
Luxembourg,LUX,2017,596336.0
Luxembourg,LUX,2016,582014.0
Luxembourg,LUX,2015,569604.0
Luxembourg,LUX,2014,556319.0
Luxembourg,LUX,2013,543360.0
Luxembourg,LUX,2012,530946.0
Luxembourg,LUX,2011,518347.0
Luxembourg,LUX,2010,506953.0
Malta,MLT,2022,531113.0
Malta,MLT,2021,518150.0
Malta,MLT,2020,515490.0
Malta,MLT,2019,503912.0
Malta,MLT,2018,483903.0
Malta,MLT,2017,467106.0
Malta,MLT,2016,454505.0
Malta,MLT,2015,444220.0
Malta,MLT,2014,433481.0
Malta,MLT,2013,424810.0
Malta,MLT,2012,420028.0
Malta,MLT,2011,416268.0
Malta,MLT,2010,414508.0
Moldova,MDA,2022,2528654.0
Moldova,MDA,2021,2595809.0
Moldova,MDA,2020,2635130.0
Moldova,MDA,2019,2664224.0
Moldova,MDA,2018,2707203.0
Moldova,MDA,2017,2755189.0
Moldova,MDA,2016,2803186.0
Moldova,MDA,2015,2835978.0
Moldova,MDA,2014,2857815.0
Moldova,MDA,2013,2859558.0
Moldova,MDA,2012,2860324.0
Moldova,MDA,2011,2860699.0
Moldova,MDA,2010,2862354.0
Monaco,MCO,2022,38931.0
Monaco,MCO,2021,38527.0
Monaco,MCO,2020,38050.0
Monaco,MCO,2019,38109.0
Monaco,MCO,2018,38154.0
Monaco,MCO,2017,37678.0
Monaco,MCO,2016,37276.0
Monaco,MCO,2015,36757.0
Monaco,MCO,2014,36128.0
Monaco,MCO,2013,35447.0
Monaco,MCO,2012,34711.0
Monaco,MCO,2011,33946.0
Monaco,MCO,2010,33163.0
Montenegro,MNE,2022,623591.0
Montenegro,MNE,2021,625053.0
Montenegro,MNE,2020,626590.0
Montenegro,MNE,2019,626753.0
Montenegro,MNE,2018,626438.0
Montenegro,MNE,2017,625982.0
Montenegro,MNE,2016,625353.0
Montenegro,MNE,2015,624651.0
Montenegro,MNE,2014,623744.0
Montenegro,MNE,2013,622587.0
Montenegro,MNE,2012,621418.0
Montenegro,MNE,2011,620345.0
Montenegro,MNE,2010,619428.0
Netherlands,NLD,2022,17700982.0
Netherlands,NLD,2021,17533044.0
Netherlands,NLD,2020,17441500.0
Netherlands,NLD,2019,17344874.0
Netherlands,NLD,2018,17231624.0
Netherlands,NLD,2017,17131296.0
Netherlands,NLD,2016,17030314.0
Netherlands,NLD,2015,16939923.0
Netherlands,NLD,2014,16865008.0
Netherlands,NLD,2013,16804432.0
Netherlands,NLD,2012,16754962.0
Netherlands,NLD,2011,16693074.0
Netherlands,NLD,2010,16615394.0
North Macedonia,MKD,2022,1831712.0
North Macedonia,MKD,2021,1837114.0
North Macedonia,MKD,2020,1856124.0
North Macedonia,MKD,2019,1876262.0
North Macedonia,MKD,2018,1889051.0
North Macedonia,MKD,2017,1898657.0
North Macedonia,MKD,2016,1906313.0
North Macedonia,MKD,2015,1912430.0
North Macedonia,MKD,2014,1917557.0
North Macedonia,MKD,2013,1922716.0
North Macedonia,MKD,2012,1929821.0
North Macedonia,MKD,2011,1937398.0
North Macedonia,MKD,2010,1946298.0
Norway,NOR,2022,5457127.0
Norway,NOR,2021,5408320.0
Norway,NOR,2020,5379475.0
Norway,NOR,2019,5347896.0
Norway,NOR,2018,5311916.0
Norway,NOR,2017,5276968.0
Norway,NOR,2016,5234519.0
Norway,NOR,2015,5188607.0
Norway,NOR,2014,5137232.0
Norway,NOR,2013,5079623.0
Norway,NOR,2012,5018573.0
Norway,NOR,2011,4953088.0
Norway,NOR,2010,4889252.0
Poland,POL,2022,36821749.0
Poland,POL,2021,36981559.0
Poland,POL,2020,37515748.0
Poland,POL,2019,37965475.0
Poland,POL,2018,37974750.0
Poland,POL,2017,37974826.0
Poland,POL,2016,37970087.0
Poland,POL,2015,37986412.0
Poland,POL,2014,38011735.0
Poland,POL,2013,38040196.0
Poland,POL,2012,38063164.0
Poland,POL,2011,38063255.0
Poland,POL,2010,38042794.0
Portugal,PRT,2022,10434332.0
Portugal,PRT,2021,10361831.0
Portugal,PRT,2020,10297081.0
Portugal,PRT,2019,10286263.0
Portugal,PRT,2018,10283822.0
Portugal,PRT,2017,10300300.0
Portugal,PRT,2016,10325452.0
Portugal,PRT,2015,10358076.0
Portugal,PRT,2014,10401062.0
Portugal,PRT,2013,10457295.0
Portugal,PRT,2012,10514844.0
Portugal,PRT,2011,10557560.0
Portugal,PRT,2010,10573100.0
Romania,ROU,2022,19048502.0
Romania,ROU,2021,19122059.0
Romania,ROU,2020,19265250.0
Romania,ROU,2019,19371648.0
Romania,ROU,2018,19473970.0
Romania,ROU,2017,19588715.0
Romania,ROU,2016,19702267.0
Romania,ROU,2015,19815616.0
Romania,ROU,2014,19908979.0
Romania,ROU,2013,19983693.0
Romania,ROU,2012,20058035.0
Romania,ROU,2011,20147528.0
Romania,ROU,2010,20246871.0
Russian Federation,RUS,2022,144236933.0
Russian Federation,RUS,2021,144746762.0
Russian Federation,RUS,2020,145245148.0
Russian Federation,RUS,2019,145453291.0
Russian Federation,RUS,2018,145398106.0
Russian Federation,RUS,2017,145293260.0
Russian Federation,RUS,2016,145015460.0
Russian Federation,RUS,2015,144640716.0
Russian Federation,RUS,2014,144237223.0
Russian Federation,RUS,2013,143805638.0
Russian Federation,RUS,2012,143378447.0
Russian Federation,RUS,2011,143018195.0
Russian Federation,RUS,2010,142849468.0
San Marino,SMR,2022,33755.0
San Marino,SMR,2021,34252.0
San Marino,SMR,2020,34770.0
San Marino,SMR,2019,34663.0
San Marino,SMR,2018,34522.0
San Marino,SMR,2017,33825.0
San Marino,SMR,2016,33101.0
San Marino,SMR,2015,32897.0
San Marino,SMR,2014,32655.0
San Marino,SMR,2013,33041.0
San Marino,SMR,2012,33469.0
San Marino,SMR,2011,32620.0
San Marino,SMR,2010,33270.0
Serbia,SRB,2022,6664449.0
Serbia,SRB,2021,6834326.0
Serbia,SRB,2020,6899126.0
Serbia,SRB,2019,6945235.0
Serbia,SRB,2018,6982604.0
Serbia,SRB,2017,7020858.0
Serbia,SRB,2016,7058322.0
Serbia,SRB,2015,7095383.0
Serbia,SRB,2014,7131787.0
Serbia,SRB,2013,7166553.0
Serbia,SRB,2012,7201497.0
Serbia,SRB,2011,7236519.0
Serbia,SRB,2010,7291436.0
Slovak Republic,SVK,2022,5431752.0
Slovak Republic,SVK,2021,5447247.0
Slovak Republic,SVK,2020,5458827.0
Slovak Republic,SVK,2019,5454147.0
Slovak Republic,SVK,2018,5446771.0
Slovak Republic,SVK,2017,5439232.0
Slovak Republic,SVK,2016,5430798.0
Slovak Republic,SVK,2015,5423801.0
Slovak Republic,SVK,2014,5418649.0
Slovak Republic,SVK,2013,5413393.0
Slovak Republic,SVK,2012,5407579.0
Slovak Republic,SVK,2011,5398384.0
Slovak Republic,SVK,2010,5391428.0
Slovenia,SVN,2022,2112076.0
Slovenia,SVN,2021,2108079.0
Slovenia,SVN,2020,2102419.0
Slovenia,SVN,2019,2088385.0
Slovenia,SVN,2018,2073894.0
Slovenia,SVN,2017,2066388.0
Slovenia,SVN,2016,2065042.0
Slovenia,SVN,2015,2063531.0
Slovenia,SVN,2014,2061980.0
Slovenia,SVN,2013,2059953.0
Slovenia,SVN,2012,2057159.0
Slovenia,SVN,2011,2052843.0
Slovenia,SVN,2010,2048583.0
Spain,ESP,2022,47786102.0
Spain,ESP,2021,47443821.0
Spain,ESP,2020,47359424.0
Spain,ESP,2019,47118501.0
Spain,ESP,2018,46782011.0
Spain,ESP,2017,46571232.0
Spain,ESP,2016,46458139.0
Spain,ESP,2015,46422303.0
Spain,ESP,2014,46460733.0
Spain,ESP,2013,46604197.0
Spain,ESP,2012,46773055.0
Spain,ESP,2011,46742697.0
Spain,ESP,2010,46576897.0
Sweden,SWE,2022,10486941.0
Sweden,SWE,2021,10415811.0
Sweden,SWE,2020,10353442.0
Sweden,SWE,2019,10278887.0
Sweden,SWE,2018,10175214.0
Sweden,SWE,2017,10057698.0
Sweden,SWE,2016,9923085.0
Sweden,SWE,2015,9799186.0
Sweden,SWE,2014,9696110.0
Sweden,SWE,2013,9600379.0
Sweden,SWE,2012,9519374.0
Sweden,SWE,2011,9449213.0
Sweden,SWE,2010,9378126.0
Switzerland,CHE,2022,8777088.0
Switzerland,CHE,2021,8704546.0
Switzerland,CHE,2020,8638167.0
Switzerland,CHE,2019,8575280.0
Switzerland,CHE,2018,8514329.0
Switzerland,CHE,2017,8451840.0
Switzerland,CHE,2016,8373338.0
Switzerland,CHE,2015,8282396.0
Switzerland,CHE,2014,8188649.0
Switzerland,CHE,2013,8089346.0
Switzerland,CHE,2012,7996861.0
Switzerland,CHE,2011,7912398.0
Switzerland,CHE,2010,7824909.0
Ukraine,UKR,2022,41048766.0
Ukraine,UKR,2021,44298640.0
Ukraine,UKR,2020,44680014.0
Ukraine,UKR,2019,44957458.0
Ukraine,UKR,2018,45208907.0
Ukraine,UKR,2017,45436041.0
Ukraine,UKR,2016,45616832.0
Ukraine,UKR,2015,45784896.0
Ukraine,UKR,2014,45972380.0
Ukraine,UKR,2013,46126770.0
Ukraine,UKR,2012,46210056.0
Ukraine,UKR,2011,46307853.0
Ukraine,UKR,2010,46456003.0
United Kingdom,GBR,2022,67604000.0
United Kingdom,GBR,2021,66984000.0
United Kingdom,GBR,2020,66744000.0
United Kingdom,GBR,2019,66631000.0
United Kingdom,GBR,2018,66289000.0
United Kingdom,GBR,2017,65966000.0
United Kingdom,GBR,2016,65607000.0
United Kingdom,GBR,2015,65088000.0
United Kingdom,GBR,2014,64620000.0
United Kingdom,GBR,2013,64139000.0
United Kingdom,GBR,2012,63711000.0
United Kingdom,GBR,2011,63258810.0
United Kingdom,GBR,2010,62766365.0
